DRS_ID,DistributionChannel,UserLanguage,geoid.county,Zone,Q1_0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1a,Q2,Q3_0,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_0,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q6_0,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_0,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q8_0,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q12_0,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q14,Q15,Q16,Q17_0,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q18,Q19a,Q19b,Q20,Q21,Q22,Q23,Q24_0,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q34,Q39,Q41a,Q41b,Q41c,Q41d,Q41e,Q41f,Q42a,Q42b,Q42c,Q42d,Q42e,Q42f,Q42g,Q42h,Q42i,Q43_0,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_9,Q43_10,Q43_11,WTFINAL,SEX_P,RACE_P,INCOME_P,AGE_P,ETHNICITY_P,EDU_P,HOMEOWNERSHIP_P,LANGUAGE_P
DRS2295,Online,English,013,3,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,No,10,<Decline to answer>,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,<I Dont know why the Delta is important>,No,<Decline to answer>,No,No,<Decline to answer>,Yes,Yes,<Decline to answer>,Yes,No,<Decline to answer>,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,No,<Decline to answer>,Yes,Yes,<Decline to answer>,No,<Decline to answer>,No,<Decline to answer>,No one advocates for my interests in the Delta,Dissatisfied,<Decline to answer>,Yes,<Decline to answer>,No,Yes,No,No,No,Not at all concerned,Moderately concerned,Moderately concerned,<Unsure>,Somewhat concerned,Very concerned,Somewhat concerned,<Decline to answer>,Mostly due to climate change,<Decline to answer>,No,<Decline to answer>,No,No,Yes,Yes,No,Yes,<Decline to answer>,<Decline to answer>,Yes. Please specify:,<Decline to answer>,Somewhat disagree,<Decline to answer>,Not doing enough,<I don't know>,<I don't know>,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,Yes,Yes,Yes,No,Yes,<Decline to answer>,No,Yes,No,No,No,NA,Yes,<Not applicable>,Somewhat distrust,Trust completely,Strongly distrust,Trust only a little,Somewhat distrust,Unsure,Very unlikely,<Decline to answer>,<Not applicable>,<Decline to answer>,Somewhat likely,Very likely,Very likely,NA,<Decline to answer>,NA,<Not applicable>,Yes,No,<Decline to answer>,<Not applicable>,<Not applicable>,NA,NA,NA,0.5433340546236306,Male,<Missing>,100K - <150K,35-44,Hispanic/Latino,<BA/BS,Owned by you or someone else living there,NA
DRS2296,Mail,English,013,3,Yes,No,No,<Decline to answer>,<Decline to answer>,Yes,15,<I don't know>,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,No,Yes,No,Yes,<Decline to answer>,Yes,No,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<I don't know>,Dissatisfied,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,Yes,No,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,<Unsure>,Very concerned,<Decline to answer>,<I don't know>,<I don't know>,No,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,No,<Decline to answer>,Yes,No,Yes. Please specify:,<I don't know>,Strongly disagree,<Decline to answer>,Doing too much,<I don't know>,Doing too much,Yes,<Decline to answer>,<Decline to answer>,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Very conservative,Yes,Trust only a little,NA,Trust somewhat,Somewhat distrust,<Not applicable>,Trust completely,Unsure,<Decline to answer>,<Not applicable>,<Not applicable>,<Not applicable>,<Not applicable>,Somewhat unlikely,Unsure,<Not applicable>,No,<Not applicable>,<Not applicable>,Yes,<Not applicable>,<Not applicable>,<Not applicable>,NA,<Not applicable>,<Not applicable>,Yes,1.475235394764471,Female,Asian/PI,75K - <100K,65+,<Missing>,<BA/BS,Owned by you or someone else living there,Other lang
DRS2297,Mail,Spanish,095,1,Yes,Yes,No,Yes,No,No,17,<Decline to answer>,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,<I Dont know why the Delta is important>,No,Yes,<I Dont know why the Delta is important>,No,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Yes,No,No,No,Yes,Yes,<Decline to answer>,<Decline to answer>,No,Yes,Yes,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,No,No,Yes,<Decline to answer>,No,No,Yes,<Decline to answer>,<Decline to answer>,<I don't know>,Very satisfied,<Decline to answer>,Yes,No,<Decline to answer>,No,No,<Decline to answer>,Yes,Somewhat concerned,Moderately concerned,<Unsure>,Somewhat concerned,<Decline to answer>,<Decline to answer>,Somewhat concerned,<Decline to answer>,Mostly due to other factors,mostly by human activities,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,Yes,No,No,<Decline to answer>,Somewhat disagree,"Yes, I have personally experienced drought impacts. Please specify:",<I don't know>,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,Yes,Yes,<Decline to answer>,Yes,Yes,No,Yes,<Decline to answer>,No,Conservative,Yes,<Decline to answer>,Trust completely,Strongly distrust,Trust only a little,Trust somewhat,Trust only a little,Very unlikely,Somewhat likely,Somewhat likely,Very unlikely,Very likely,Somewhat unlikely,Very unlikely,Somewhat unlikely,<Not applicable>,<Decline to answer>,No,Yes,<Decline to answer>,NA,NA,NA,<Not applicable>,No,NA,NA,0.5694743990353791,<Missing>,Asian/PI,50K - <75K,45-54,Hispanic/Latino,BA/BS,Rented/Other,NA
DRS2298,Online,English,013,2,No,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,82,Rural (outside of town),No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,<I Dont know why the Delta is important>,Yes,Yes,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,No,<Decline to answer>,No,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,No,Yes,No,No,Yes,No,<Decline to answer>,No,Yes,Please specify individual or organization name:,Very dissatisfied,Yes,Yes,<Decline to answer>,Yes,Yes,No,<Decline to answer>,Yes,Very concerned,<Unsure>,Very concerned,Somewhat concerned,<Decline to answer>,Not at all concerned,<Decline to answer>,Yes. Please specify:,Not at all due to climate change,<Decline to answer>,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,Yes,<Decline to answer>,<I don't know>,Somewhat agree,<Decline to answer>,<I don't know>,Not doing enough,<Decline to answer>,Yes,Yes,No,<Decline to answer>,Yes,No,No,No,Yes,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,Moderate,Yes,Trust completely,Trust only a little,<Decline to answer>,Somewhat distrust,<Decline to answer>,<Not applicable>,NA,Unsure,Somewhat unlikely,<Decline to answer>,Very likely,Somewhat unlikely,Very likely,NA,<Decline to answer>,<Decline to answer>,NA,No,Yes,Yes,<Not applicable>,Yes,<Decline to answer>,<Decline to answer>,NA,Yes,2.077183833916478,Female,<Missing>,75K - <100K,45-54,Not Hispanic/Latino,<BA/BS,Owned by you or someone else living there,NA
DRS2299,Online,Spanish,<Erased>,3,Yes,Yes,No,No,<Decline to answer>,No,7,Suburban,Yes,No,No,No,Yes,Yes,No,Yes,No,<I Dont know why the Delta is important>,No,Yes,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,No,<Decline to answer>,Yes,Yes,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,No,Yes,No,No,No,Yes,No,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,No,<Decline to answer>,Yes,Yes,<Decline to answer>,Very satisfied,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,No,Not at all concerned,<Decline to answer>,<Unsure>,Very concerned,Not at all concerned,Very concerned,<Unsure>,<Decline to answer>,Entirely due to climate change,by both human activities and natural changes in the environment,No,Yes,Yes,No,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,Yes,No,Somewhat agree,Somewhat disagree,<I don't know>,Not doing enough,Doing too much,Not doing enough,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,Yes,No,Yes,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,No,Conservative,No,Trust somewhat,Somewhat distrust,<Not applicable>,Somewhat distrust,NA,Strongly distrust,Somewhat unlikely,<Decline to answer>,<Decline to answer>,Somewhat likely,<Decline to answer>,Unsure,Very likely,<Decline to answer>,<Decline to answer>,NA,NA,NA,Yes,No,NA,<Not applicable>,No,NA,No,No,1.119036475913168,Male,Asian/PI,>150K,65+,Not Hispanic/Latino,<Missing>,<Decline to answer>,NA
DRS2300,Mail,Spanish,067,2,Yes,No,Yes,Yes,<Decline to answer>,Yes,19,Urban,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,<I Dont know why the Delta is important>,No,No,No,No,Yes,Yes,No,<Decline to answer>,No,No,No,No,Yes,No,No,Yes,<Decline to answer>,No,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,<Decline to answer>,Yes,No,Yes,No,No,No one advocates for my interests in the Delta,Very satisfied,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Yes,No,No,<Unsure>,Somewhat concerned,Moderately concerned,Not at all concerned,Moderately concerned,Very concerned,Very concerned,Yes. Please specify:,Entirely due to climate change,None of the above because climate change isn't happening,Yes,No,No,<Decline to answer>,Yes,Yes,Yes,Yes,<Decline to answer>,No,Yes. Please specify:,<I don't know>,Somewhat agree,<I don't know>,Doing the right amount,<I don't know>,<I don't know>,Yes,No,<Decline to answer>,<Decline to answer>,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,Yes,No,No,No,No,<Decline to answer>,No,Very conservative,No,Somewhat distrust,NA,Trust completely,Trust somewhat,Trust only a little,Trust completely,<Decline to answer>,Very likely,Somewhat unlikely,<Not applicable>,NA,Somewhat unlikely,Somewhat unlikely,Very unlikely,Yes,Yes,<Decline to answer>,<Decline to answer>,NA,NA,NA,<Not applicable>,NA,<Not applicable>,Yes,<Decline to answer>,0.16990108785290575,Male,White,<Missing>,45-54,Not Hispanic/Latino,>BA/BS,<Decline to answer>,NA
DRS2301,Online,Spanish,095,1,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,5,<I don't know>,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,<I Dont know why the Delta is important>,No,<I Dont know why the Delta is important>,<I Dont know why the Delta is important>,Yes,<Decline to answer>,<Decline to answer>,No,Yes,No,No,No,No,Yes,<Decline to answer>,No,Yes,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,No,Yes,<Decline to answer>,No,No,<Decline to answer>,No,Yes,Yes,<Decline to answer>,Please specify individual or organization name:,<Decline to answer>,No,Yes,No,<Decline to answer>,No,Yes,No,No,Moderately concerned,<Decline to answer>,Not at all concerned,Moderately concerned,<Decline to answer>,Not at all concerned,Somewhat concerned,Yes. Please specify:,<I don't know>,None of the above because climate change isn't happening,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes. Please specify:,<Decline to answer>,<I don't know>,"No, I have not personally experienced drought impacts",<I don't know>,Doing too much,<Decline to answer>,No,Yes,<Decline to answer>,No,No,No,Yes,No,No,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,No,Yes,Moderate,Yes,<Not applicable>,Strongly distrust,Somewhat distrust,<Not applicable>,Trust somewhat,Trust only a little,NA,<Not applicable>,Unsure,Very unlikely,<Not applicable>,<Decline to answer>,<Decline to answer>,Very unlikely,No,Yes,NA,<Not applicable>,<Not applicable>,No,<Decline to answer>,<Decline to answer>,<Not applicable>,Yes,Yes,No,1.262817383033312,<Missing>,Asian/PI,>150K,65+,Hispanic/Latino,>BA/BS,Owned by you or someone else living there,Other lang
DRS2302,Online,Spanish,095,2,Yes,Yes,Yes,<Decline to answer>,No,No,8,Historic or Delta “legacy” town,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,<I Dont know why the Delta is important>,No,<I Dont know why the Delta is important>,No,No,Yes,<Decline to answer>,Yes,No,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,Yes,<Decline to answer>,No,Yes,No,Yes,No,Yes,No,<Decline to answer>,No,<Decline to answer>,No,No,<Decline to answer>,<Decline to answer>,Yes,No,<Decline to answer>,No one advocates for my interests in the Delta,Very satisfied,<Decline to answer>,Yes,No,<Decline to answer>,Yes,Yes,<Decline to answer>,<Decline to answer>,Very concerned,<Decline to answer>,Not at all concerned,Not at all concerned,Very concerned,Moderately concerned,Moderately concerned,No,Entirely due to climate change,None of the above because climate change isn't happening,No,Yes,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,Yes,<Decline to answer>,Yes. Please specify:,Somewhat agree,Strongly disagree,"Yes, I have personally experienced drought impacts. Please specify:",Not doing enough,<Decline to answer>,<I don't know>,No,No,<Decline to answer>,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,Yes,Yes,No,No,<Decline to answer>,Conservative,Yes,Trust only a little,<Decline to answer>,NA,Trust completely,Trust only a little,Trust somewhat,<Decline to answer>,Very likely,<Decline to answer>,<Decline to answer>,Somewhat unlikely,Very unlikely,Unsure,NA,No,Yes,NA,NA,<Decline to answer>,No,Yes,<Not applicable>,<Not applicable>,No,No,<Not applicable>,0.7923861782063824,<Missing>,Black,25K - <50K,25-34,Not Hispanic/Latino,>BA/BS,Rented/Other,NA
DRS2303,Mail,Spanish,113,3,<Decline to answer>,<Decline to answer>,Yes,No,Yes,<Decline to answer>,79,<Decline to answer>,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,<Decline to answer>,Yes,No,No,<Decline to answer>,No,No,Yes,Yes,Yes,No,Yes,Yes,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,Yes,Yes,No,No,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,No,<I don't know>,Dissatisfied,<Decline to answer>,Yes,<Decline to answer>,No,Yes,No,<Decline to answer>,Yes,Very concerned,<Decline to answer>,Very concerned,<Unsure>,Very concerned,<Unsure>,Moderately concerned,<Decline to answer>,Mostly due to climate change,None of the above because climate change isn't happening,Yes,No,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,Yes,Yes,No,<Decline to answer>,Strongly agree,<Decline to answer>,"No, I have not personally experienced drought impacts",Not doing enough,<I don't know>,Doing too much,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,<Decline to answer>,No,No,Yes,Yes,Yes,Yes,Liberal,Yes,Strongly distrust,Trust completely,Trust somewhat,Trust completely,<Decline to answer>,Trust completely,Somewhat likely,Somewhat likely,Very unlikely,Somewhat likely,NA,Very likely,<Not applicable>,Somewhat likely,<Not applicable>,<Not applicable>,Yes,No,<Decline to answer>,<Decline to answer>,<Decline to answer>,<Decline to answer>,NA,<Decline to answer>,<Decline to answer>,NA,1.1759491975791323,Male,<Missing>,100K - <150K,<Missing>,Not Hispanic/Latino,<Missing>,NA,NA
DRS2304,Online,English,067,3,Yes,No,No,No,No,No,4,Rural (outside of town),No,No,No,No,No,No,No,Yes,Yes,No,<I Dont know why the Delta is important>,No,Yes,No,<I Dont know why the Delta is important>,No,No,No,No,Yes,Yes,<Decline to answer>,Yes,<Decline to answer>,Yes,No,<Decline to answer>,No,<Decline to answer>,No,Yes,No,Yes,<Decline to answer>,<Decline to answer>,No,<Decline to answer>,Yes,Yes,No,<Decline to answer>,No,Yes,Yes,Yes,<I don't know>,Satisfied,<Decline to answer>,<Decline to answer>,No,Yes,Yes,Yes,<Decline to answer>,No,Moderately concerned,Somewhat concerned,Not at all concerned,<Decline to answer>,Not at all concerned,Moderately concerned,Not at all concerned,Yes. Please specify:,Mostly due to other factors,<I don't know>,No,No,No,No,No,Yes,<Decline to answer>,<Decline to answer>,<Decline to answer>,Yes,Yes. Please specify:,Strongly agree,Somewhat agree,<Decline to answer>,Doing the right amount,<I don't know>,Doing the right amount,No,No,Yes,<Decline to answer>,No,No,<Decline to answer>,Yes,Yes,No,No,<Decline to answer>,No,<Decline to answer>,<Decline to answer>,No,Very conservative,NA,Somewhat distrust,Trust somewhat,Trust somewhat,Trust somewhat,Somewhat distrust,Trust somewhat,NA,Very unlikely,Very unlikely,<Decline to answer>,Very likely,Unsure,Somewhat likely,Very likely,<Decline to answer>,NA,<Not applicable>,<Not applicable>,Yes,Yes,<Decline to answer>,<Decline to answer>,NA,<Not applicable>,<Not applicable>,NA,0.9035756969670781,Male,<Missing>,25K - <50K,25-34,Not Hispanic/Latino,BA/BS,Owned by you or someone else living there,NA
