Variable,short_title,label,short_label,level,short_level
DRS_ID,,DRS Unique ID,ID,,
DistributionChannel,,Survey Distribution Method,Method,,
UserLanguage,,Survey Respondent Language,Svy Lang.,,
geoid.county,,County ID,County ID,,
Zone,,Delta Zone,Zone,,
Q1_0,General Relation to the Delta,None of these,None,,
Q1_1,General Relation to the Delta,Live in or near the Delta region,Resident,,
Q1_2,General Relation to the Delta,Work in the Delta,Employment,,
Q1_3,General Relation to the Delta,Visit the Delta for fun or recreation,Recreation,,
Q1_4,General Relation to the Delta,Farm in the Delta,Farm,,
Q1_5,General Relation to the Delta,Commute through the Delta,Commute,,
Q1a,Length of Residence in the Delta,Years,Years,,
Q2,Residential Designation,,,Urban,Urban
Q2,Residential Designation,,,Suburban,Suburban
Q2,Residential Designation,,,"Historic or Delta ""legacy"" town",Historic Town
Q2,Residential Designation,,,Rural (outside of town),Rural
Q3_0,Personal Relationship to the Delta,None of the above,None,,
Q3_1,Personal Relationship to the Delta,I am proud to live in the Delta.,Proud,,
Q3_2,Personal Relationship to the Delta,I feel attached to the natural environment of the Delta.,Environmental,,
Q3_3,Personal Relationship to the Delta,I depend on the Delta for my job or livelihood.,Livelihood,,
Q3_4,Personal Relationship to the Delta,I depend on fishing or gathering in the Delta as a source of food.,Subsistence,,
Q3_5,Personal Relationship to the Delta,I have a sense of responsibility toward the Delta.,Responsibility,,
Q3_6,Personal Relationship to the Delta,I enjoy doing outdoor recreational activities in the Delta.,Recreational,,
Q3_7,Personal Relationship to the Delta,"I have familial, cultural, or historical ties to the Delta.",Cultural,,
Q3_8,Personal Relationship to the Delta,My family has lived in the Delta for more than one generation.,Generational,,
Q4_0,Importance of the Delta,The Delta is not important to me.,Unimportant,,
Q4_1,Importance of the Delta,The Delta is an important ecosystem.,Ecological,,
Q4_2,Importance of the Delta,The Delta is a good region for outdoor recreation.,Recreational,,
Q4_3,Importance of the Delta,The Delta is a place of cultural and historical importance.,Cultural,,
Q4_4,Importance of the Delta,The Delta is an important agricultural region for the state.,Agricultural,,
Q4_5,Importance of the Delta,The Delta is important as California's water hub.,Hydrological,,
Q5,Describe the Delta Region as you would to someone who is not familiar with it,,,,
Q6_0,Valued Delta Qualities,None of these are things I value about living near the Delta.,None,,
Q6_1,Valued Delta Qualities,Access to outdoor recreation opportunities,Recreational access,,
Q6_2,Valued Delta Qualities,Access to waterways and waterfronts,Waterfront access,,
Q6_3,Valued Delta Qualities,Agricultural region,Agriculture,,
Q6_4,Valued Delta Qualities,Close proximity between urban and rural areas,Urban proximity,,
Q6_5,Valued Delta Qualities,Historic and culturally significant areas,Cultural significance,,
Q6_6,Valued Delta Qualities,Quiet and solitude,Tranquility,,
Q6_7,Valued Delta Qualities,Scenic beauty,Beauty,,
Q6_8,Valued Delta Qualities,Sense of community,Community,,
Q6_9,Valued Delta Qualities,Other. Please specify:,Other,,
Q7_0,Challenges to Well-being in the Delta,None of these are challenging for my personal well-being,None,,
Q7_1,Challenges to Well-being in the Delta,"Affordability of basic needs (e.g., housing, food, healthcare)",Basic Needs,,
Q7_2,Challenges to Well-being in the Delta,Delta Conveyance/Delta Tunnel projects,Delta Conveyance,,
Q7_3,Challenges to Well-being in the Delta,Environmental decline,Environmental decline,,
Q7_4,Challenges to Well-being in the Delta,Lack of job or education opportunities,Employment or education,,
Q7_5,Challenges to Well-being in the Delta,"Threats to public safety (e.g., first responders, trespassing, vandalis",Public safety,,
Q7_6,Challenges to Well-being in the Delta,Social inequality,Social inquality,,
Q7_7,Challenges to Well-being in the Delta,Traffic congestion/Limited transportation options,Traffic & Transportation,,
Q7_8,Challenges to Well-being in the Delta,Urban/Suburban development,Urb. Development,,
Q7_9,Challenges to Well-being in the Delta,Other.,Other,,
Q7_10,Challenges to Well-being in the Delta,Access to highspeed internet,Internet access,,
Q7_11,Challenges to Well-being in the Delta,"Aging infrastructure (e.g., roads, levees, bridges)",Aging Infrastructure,,
Q7_12,Challenges to Well-being in the Delta,Climate change/Global warming,Climate change,,
Q8_0,,None of these,None,,
Q8_1,Activities Engaged in the Delta,Wildlife viewing/Birding,Wildlife viewing,,
Q8_2,Activities Engaged in the Delta,Fishing or hunting,Fishing or hunting,,
Q8_3,Activities Engaged in the Delta,"Water-based activities (e.g., boat, kayak/canoe, swim)",Water-based,,
Q8_4,Activities Engaged in the Delta,"Land-based activities (e.g., walk, hike, bicycle, camp, picnic)",Land-based,,
Q8_5,Activities Engaged in the Delta,"Attend/Visit cultural events, festivals, or historical places",Cultural events,,
Q8_6,Activities Engaged in the Delta,Spiritual or religious practices or rituals related to the Delta environment,Spiritual,,
Q9,Who do you feel best advocates for your interests in the Delta?,,,,
Q10,Life Satisfaction,,,,
Q11,What do you imagine and hope life in the Delta looks line one generation from now?,,,,
Q12_0,Environmental Impacts Experienced,None of the above,None,,
Q12_1,Environmental Impacts Experienced,"Flooded property (e.g., home, farm, roadway)",Flooded property,,
Q12_2,Environmental Impacts Experienced,Well failure or contamination,Well issues,,
